Bot_L,Bot_R,Timer,ActInterval,Round,SkillLeft,SkillRight,Games,Winner_L,Winner_R,ActionCounts_L,ActionCounts_R,TotalActions,Duration_L,Duration_R,Collisions_L,Collisions_R,Collisions_Tie,MatchDur,Accelerate_Dur_L,TurnLeft_Dur_L,TurnRight_Dur_L,Dash_Dur_L,SkillBoost_Dur_L,SkillStone_Dur_L,Accelerate_Dur_R,TurnLeft_Dur_R,TurnRight_Dur_R,Dash_Dur_R,SkillBoost_Dur_R,SkillStone_Dur_R,Accelerate_Act_L,TurnLeft_Act_L,TurnRight_Act_L,Dash_Act_L,SkillBoost_Act_L,SkillStone_Act_L,Accelerate_Act_R,TurnLeft_Act_R,TurnRight_Act_R,Dash_Act_R,SkillBoost_Act_R,SkillStone_Act_R,WinRate_L,WinRate_R,Rank_L,Rank_R
Bot_BT,Bot_NN,45.0,0.2,BestOf1,Stone,Boost,10,3,7,390,242,632,28.463297714999985,75.080733692,24,11,4,16.977451650000003,10.011357197999994,7.975256512,10.476684004999994,0.0,0.0,0.0,13.575101093999997,24.480141824,7.506263564,24.551082909999998,4.9681443000000005,0.0,188,32,169,1,0,0,52,42,126,16,6,0,0.3,0.7,3,1
Bot_BT,Bot_NN,45.0,0.2,BestOf1,Boost,Stone,10,2,8,452,304,756,64.69046005900003,196.195353186,43,10,0,23.86352464,24.95121873900001,16.986144606000007,21.231538514000004,0.7607791000000041,0.7607791000000041,0.0,28.26386258700001,36.065391831999996,46.55621014700001,65.74884272,0.0,19.561045900000003,219,50,171,6,6,0,76,58,135,26,0,9,0.2,0.8,3,1
Bot_BT,Bot_NN,45.0,0.2,BestOf1,Boost,Boost,10,2,8,326,179,505,19.9514233672,26.584314313,34,7,0,6.456233512999999,4.624200126999999,8.426549367200002,6.900673872999999,0.0,0.0,0.0,6.602084597999999,9.902442267000001,6.512443987999998,2.93212576,0.6352177000000019,0.0,170,14,142,0,0,0,44,41,78,14,2,0,0.2,0.8,3,1
Bot_BT,Bot_NN,45.0,0.2,BestOf3,Boost,Boost,10,0,10,647,359,1006,44.795391971899974,48.20366748599997,73,13,0,7.9989435659999994,11.474311579999993,19.3290378959,13.819846155999993,0.17219633999999973,0.0,0.0,12.702825347999994,15.253317069999996,14.886904587999997,5.205619679999998,0.15500079999999983,0.0,334,64,247,2,0,0,89,84,158,26,2,0,0.0,1.0,3,1
Bot_BT,Bot_NN,45.0,0.2,BestOf1,Stone,Stone,10,4,6,359,234,593,100.87979484799999,223.37455458399998,28,9,8,19.191138708,27.506167124999997,15.319435410999994,27.981060911999997,15.036565699999997,0.0,15.036565699999997,32.63226214499999,65.42451652399998,34.310905764999994,64.40235475,0.0,26.604515399999997,182,42,126,5,0,4,58,61,88,20,0,7,0.4,0.6,3,1
Bot_BT,Bot_NN,45.0,0.2,BestOf3,Stone,Stone,10,1,9,1353,836,2189,200.93712402239996,333.5697713109999,86,29,6,26.290313140000002,24.469822077999986,42.20838433039998,63.570058723999985,34.233092389999996,0.0,36.45576649999999,23.724033126999984,87.156816235,70.69207762899998,108.09037521999998,0.0,43.906469099999995,694,120,510,19,0,10,231,160,372,57,0,16,0.1,0.9,3,1
Bot_BT,Bot_NN,60.0,0.1,BestOf3,Boost,Boost,10,0,10,1625,1215,2840,64.5700906996,50.35952970300001,103,31,40,13.546185220000002,18.184487457000003,19.582579974599998,21.610032818000004,4.380086850000003,0.8129036000000003,0.0,7.652825123000001,13.411543109999998,4.640913660000006,21.392019310000002,3.262228499999999,0.0,589,226,741,61,8,0,254,226,674,55,6,0,0.0,1.0,3,1
Bot_BT,Bot_NN,60.0,0.1,BestOf1,Stone,Boost,10,3,7,399,353,752,63.59850898099999,65.55650009599998,28,16,20,18.24801523,23.442760662999998,17.488791451999997,20.027768986,1.6322281799999976,0.0,1.0069597000000012,8.374269765999994,14.690921379999999,11.802562979999998,19.61013527,11.078610699999997,0.0,141,114,129,12,0,3,113,84,119,27,10,0,0.3,0.7,3,1
Bot_BT,Bot_NN,60.0,0.1,BestOf1,Boost,Boost,10,0,10,997,742,1739,37.719175439500006,43.26749437500001,60,22,20,14.32769763,12.246211297000006,9.9647363175,12.224416335000003,2.4369424900000025,0.8468689999999981,0.0,7.424926295000004,9.591386750000002,6.555505490000007,18.075893540000003,1.6197823000000007,0.0,359,184,415,31,8,0,128,184,385,42,3,0,0.0,1.0,3,1
Bot_BT,Bot_NN,60.0,0.1,BestOf3,Boost,Stone,10,2,8,1595,1650,3245,108.88731960459997,212.83991852189996,143,37,42,26.396886920000004,36.50728626669999,30.77598273989998,31.77971796800001,7.31066203,2.5136706000000046,0.0,28.47060309789999,45.275479029,47.55423093499999,77.93340456000003,0.0,13.606200899999994,556,396,550,74,19,0,521,459,529,124,0,17,0.2,0.8,3,1
Bot_BT,Bot_NN,60.0,0.1,BestOf1,Stone,Stone,10,3,6,689,665,1354,297.8445964984,302.041033276,47,34,12,30.71042299,66.2351533477,65.60256181969999,50.359960571000016,61.138584360000024,0.0,54.508336400000005,42.44908272000001,61.83719479300001,70.355555093,83.50626007,0.0,43.8929406,298,184,162,31,0,14,215,192,192,52,0,14,0.3,0.6,3,1
Bot_BT,Bot_NN,60.0,0.1,BestOf3,Stone,Stone,10,1,9,3385,3078,6463,332.39049979750007,300.304919078,190,79,46,31.90231715,33.402315734999995,66.8392173185,102.020953974,81.88872177000002,0.0,48.23929100000001,13.436815527999995,31.756514190000004,28.89943313999998,127.61429242,0.0,98.59786379999998,1824,421,984,129,0,27,1021,708,1170,154,0,25,0.1,0.9,3,1
Bot_BT,Bot_NN,60.0,0.1,BestOf1,Boost,Stone,10,5,5,688,721,1409,78.69596048100003,258.58661245,67,18,16,34.77618067,30.594372168000014,13.700627529999986,30.542159823000013,2.6344626600000076,1.2243383000000048,0.0,51.374130600000015,56.37696974999999,64.04924129000001,72.65978351,0.0,14.126487300000003,240,111,290,33,14,0,235,183,234,56,0,13,0.5,0.5,3,1
Bot_BT,Bot_NN,60.0,0.1,BestOf3,Stone,Boost,10,3,7,2190,1511,3701,136.57827244490002,97.88888444500002,111,89,50,19.73365313,31.799135811000006,38.587374879900004,45.282625544,16.747733109999995,0.0,4.161403099999999,19.354965365000012,18.506286341000003,14.884251459000009,41.099154080000005,4.044227199999996,0.0,956,480,652,89,0,13,339,466,567,124,15,0,0.3,0.7,3,1
Bot_BT,Bot_NN,60.0,0.2,BestOf3,Stone,Stone,10,0,10,516,280,796,42.18883447659,40.285566868000004,66,8,0,5.993554784999999,10.544690580000001,18.598396838590002,12.964581058,0.0811660000000014,0.0,0.0,11.801789614000002,13.765652970000001,12.381720804,2.3364034799999986,0.0,0.0,268,40,207,1,0,0,82,61,114,23,0,0,0.0,1.0,3,1
