Rank,Bot,Win-rate,Action Duration,Actions,Collisions
1,Bot_NN,0.71 (0.22),22.32 (19.66),87.02 (58.74),7.03 (4.62)
2,Bot_Primitive,0.41 (0.26),19.87 (17.07),246.11 (336.54),8.4 (4.88)
3,Bot_BT,0.33 (0.22),13.59 (14.58),233.74 (304.43),7.0 (4.25)
