Bot,Timer,ActInterval,Round,TimeBin,Action,MeanCount
Bot_BT,45.0,0.1,BestOf1,0.0,Accelerate,8.311203319502075
Bot_BT,45.0,0.1,BestOf1,0.0,Dash,0.7378640776699029
Bot_BT,45.0,0.1,BestOf1,0.0,SkillBoost,0.0
Bot_BT,45.0,0.1,BestOf1,0.0,SkillStone,0.0
Bot_BT,45.0,0.1,BestOf1,0.0,TurnLeft,8.675
Bot_BT,45.0,0.1,BestOf1,0.0,TurnRight,5.622406639004149
Bot_BT,45.0,0.1,BestOf1,5.0,Accelerate,6.940425531914894
Bot_BT,45.0,0.1,BestOf1,5.0,Dash,0.9121951219512195
Bot_BT,45.0,0.1,BestOf1,5.0,SkillBoost,0.0
Bot_BT,45.0,0.1,BestOf1,5.0,SkillStone,0.0
Bot_BT,45.0,0.1,BestOf1,5.0,TurnLeft,4.3418803418803416
Bot_BT,45.0,0.1,BestOf1,5.0,TurnRight,11.268085106382978
Bot_BT,45.0,0.1,BestOf1,10.0,Accelerate,10.804232804232804
Bot_BT,45.0,0.1,BestOf1,10.0,Dash,0.6571428571428571
Bot_BT,45.0,0.1,BestOf1,10.0,SkillBoost,0.7142857142857143
Bot_BT,45.0,0.1,BestOf1,10.0,SkillStone,0.8333333333333334
Bot_BT,45.0,0.1,BestOf1,10.0,TurnLeft,2.723404255319149
Bot_BT,45.0,0.1,BestOf1,10.0,TurnRight,10.899470899470899
Bot_BT,45.0,0.1,BestOf1,15.0,Accelerate,9.256944444444445
Bot_BT,45.0,0.1,BestOf1,15.0,Dash,0.6343283582089553
Bot_BT,45.0,0.1,BestOf1,15.0,SkillBoost,0.15217391304347827
Bot_BT,45.0,0.1,BestOf1,15.0,SkillStone,0.08928571428571429
Bot_BT,45.0,0.1,BestOf1,15.0,TurnLeft,2.629370629370629
Bot_BT,45.0,0.1,BestOf1,15.0,TurnRight,12.034722222222221
Bot_BT,45.0,0.1,BestOf1,20.0,Accelerate,9.555555555555555
Bot_BT,45.0,0.1,BestOf1,20.0,Dash,0.5631067961165048
Bot_BT,45.0,0.1,BestOf1,20.0,SkillBoost,0.3076923076923077
Bot_BT,45.0,0.1,BestOf1,20.0,SkillStone,0.35714285714285715
Bot_BT,45.0,0.1,BestOf1,20.0,TurnLeft,2.3271028037383177
Bot_BT,45.0,0.1,BestOf1,20.0,TurnRight,14.25
Bot_BT,45.0,0.1,BestOf1,25.0,Accelerate,10.818181818181818
Bot_BT,45.0,0.1,BestOf1,25.0,Dash,0.46987951807228917
Bot_BT,45.0,0.1,BestOf1,25.0,SkillBoost,0.3939393939393939
Bot_BT,45.0,0.1,BestOf1,25.0,SkillStone,0.1935483870967742
Bot_BT,45.0,0.1,BestOf1,25.0,TurnLeft,2.0344827586206895
Bot_BT,45.0,0.1,BestOf1,25.0,TurnRight,14.761363636363637
Bot_BT,45.0,0.1,BestOf1,30.0,Accelerate,10.298507462686567
Bot_BT,45.0,0.1,BestOf1,30.0,Dash,0.4032258064516129
Bot_BT,45.0,0.1,BestOf1,30.0,SkillBoost,0.2
Bot_BT,45.0,0.1,BestOf1,30.0,SkillStone,0.24
Bot_BT,45.0,0.1,BestOf1,30.0,TurnLeft,2.742424242424242
Bot_BT,45.0,0.1,BestOf1,30.0,TurnRight,17.313432835820894
Bot_BT,45.0,0.1,BestOf1,35.0,Accelerate,14.372549019607844
Bot_BT,45.0,0.1,BestOf1,35.0,Dash,0.40425531914893614
Bot_BT,45.0,0.1,BestOf1,35.0,SkillBoost,0.14285714285714285
Bot_BT,45.0,0.1,BestOf1,35.0,SkillStone,0.35294117647058826
Bot_BT,45.0,0.1,BestOf1,35.0,TurnLeft,2.4
Bot_BT,45.0,0.1,BestOf1,35.0,TurnRight,21.392156862745097
Bot_BT,45.0,0.1,BestOf1,40.0,Accelerate,11.666666666666666
Bot_BT,45.0,0.1,BestOf1,40.0,Dash,0.36585365853658536
Bot_BT,45.0,0.1,BestOf1,40.0,SkillBoost,0.2222222222222222
Bot_BT,45.0,0.1,BestOf1,40.0,SkillStone,0.29411764705882354
Bot_BT,45.0,0.1,BestOf1,40.0,TurnLeft,2.2045454545454546
Bot_BT,45.0,0.1,BestOf1,40.0,TurnRight,22.177777777777777
Bot_BT,45.0,0.1,BestOf1,45.0,Accelerate,0.0
Bot_BT,45.0,0.1,BestOf1,45.0,Dash,0.3333333333333333
Bot_BT,45.0,0.1,BestOf1,45.0,SkillBoost,0.0
Bot_BT,45.0,0.1,BestOf1,45.0,SkillStone,0.0
Bot_BT,45.0,0.1,BestOf1,45.0,TurnLeft,0.0
Bot_BT,45.0,0.1,BestOf1,45.0,TurnRight,0.3333333333333333
Bot_BT,45.0,0.1,BestOf3,0.0,Accelerate,13.325
Bot_BT,45.0,0.1,BestOf3,0.0,Dash,0.8434782608695652
Bot_BT,45.0,0.1,BestOf3,0.0,SkillBoost,0.0
Bot_BT,45.0,0.1,BestOf3,0.0,SkillStone,0.0
Bot_BT,45.0,0.1,BestOf3,0.0,TurnLeft,12.004166666666666
Bot_BT,45.0,0.1,BestOf3,0.0,TurnRight,6.329166666666667
Bot_BT,45.0,0.1,BestOf3,5.0,Accelerate,9.780590717299578
Bot_BT,45.0,0.1,BestOf3,5.0,Dash,1.1842105263157894
Bot_BT,45.0,0.1,BestOf3,5.0,SkillBoost,0.0
Bot_BT,45.0,0.1,BestOf3,5.0,SkillStone,0.0
Bot_BT,45.0,0.1,BestOf3,5.0,TurnLeft,10.135021097046414
Bot_BT,45.0,0.1,BestOf3,5.0,TurnRight,10.151898734177216
Bot_BT,45.0,0.1,BestOf3,10.0,Accelerate,12.600917431192661
Bot_BT,45.0,0.1,BestOf3,10.0,Dash,1.0560747663551402
Bot_BT,45.0,0.1,BestOf3,10.0,SkillBoost,1.0
Bot_BT,45.0,0.1,BestOf3,10.0,SkillStone,1.2765957446808511
Bot_BT,45.0,0.1,BestOf3,10.0,TurnLeft,4.853211009174312
Bot_BT,45.0,0.1,BestOf3,10.0,TurnRight,13.642201834862385
Bot_BT,45.0,0.1,BestOf3,15.0,Accelerate,9.908045977011493
Bot_BT,45.0,0.1,BestOf3,15.0,Dash,1.0174418604651163
Bot_BT,45.0,0.1,BestOf3,15.0,SkillBoost,0.45
Bot_BT,45.0,0.1,BestOf3,15.0,SkillStone,0.35443037974683544
Bot_BT,45.0,0.1,BestOf3,15.0,TurnLeft,3.4022988505747125
Bot_BT,45.0,0.1,BestOf3,15.0,TurnRight,8.022988505747126
Bot_BT,45.0,0.1,BestOf3,20.0,Accelerate,9.05109489051095
Bot_BT,45.0,0.1,BestOf3,20.0,Dash,0.8161764705882353
Bot_BT,45.0,0.1,BestOf3,20.0,SkillBoost,0.3283582089552239
Bot_BT,45.0,0.1,BestOf3,20.0,SkillStone,0.6290322580645161
Bot_BT,45.0,0.1,BestOf3,20.0,TurnLeft,3.5547445255474455
Bot_BT,45.0,0.1,BestOf3,20.0,TurnRight,10.357664233576642
Bot_BT,45.0,0.1,BestOf3,25.0,Accelerate,8.884210526315789
Bot_BT,45.0,0.1,BestOf3,25.0,Dash,0.8421052631578947
Bot_BT,45.0,0.1,BestOf3,25.0,SkillBoost,0.5208333333333334
Bot_BT,45.0,0.1,BestOf3,25.0,SkillStone,0.6222222222222222
Bot_BT,45.0,0.1,BestOf3,25.0,TurnLeft,3.294736842105263
Bot_BT,45.0,0.1,BestOf3,25.0,TurnRight,5.989473684210527
Bot_BT,45.0,0.1,BestOf3,30.0,Accelerate,6.972972972972973
Bot_BT,45.0,0.1,BestOf3,30.0,Dash,0.8513513513513513
Bot_BT,45.0,0.1,BestOf3,30.0,SkillBoost,0.35
Bot_BT,45.0,0.1,BestOf3,30.0,SkillStone,0.18181818181818182
Bot_BT,45.0,0.1,BestOf3,30.0,TurnLeft,2.7972972972972974
Bot_BT,45.0,0.1,BestOf3,30.0,TurnRight,7.0675675675675675
Bot_BT,45.0,0.1,BestOf3,35.0,Accelerate,6.981481481481482
Bot_BT,45.0,0.1,BestOf3,35.0,Dash,0.7962962962962963
Bot_BT,45.0,0.1,BestOf3,35.0,SkillBoost,0.20689655172413793
